Category B Theory test revision question bank February 2025,,,,,,,,,,,,,,,,,,,,,,
Item,Topic,Answer,Stem,Mark Answer,OptionA,OptionB,OptionC,OptionD,Expl text,List Amendments,NI Exempt,Stem.gif,A.gif,B.gif,C.gif,D.gif,Stem HiRes,A HiRes,B HiRes,C HiRes,D HiRes,Cat B Book XRefs
BB1440,Attitude ,B,You're approaching a zebra crossing. What should you do if pedestrians are waiting to cross?,Mark one answer,Give way to older and infirm people only,Slow down and prepare to stop,Use your headlights to indicate they can cross,Wave at them to cross the road,"As you approach a zebra crossing, look for pedestrians waiting to cross. Where you can see them, slow down and prepare to stop. Be especially careful of children and older people, who may have difficulty judging when it's safe to cross.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s7, HC r195"
BB1444,Attitude ,C,What should you do if a vehicle pulls out in front of you at a junction?,Mark one answer,Swerve past it and sound your horn,Flash your headlights and drive up close behind,Slow down and be ready to stop,Accelerate past it immediately,Try to anticipate what other drivers might do. Look and plan ahead so that you're ready to respond safely if a hazard develops. Be tolerant of road users who make mistakes.,"09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s8, HC r147"
BB1591,Attitude,A,Which instrument-panel warning light would show that headlights are on main beam?,Mark one answer,,,,,"You should be aware of all the warning lights and visual aids on the vehicle you're driving. If you're driving a vehicle for the first time, you should familiarise yourself with all the controls, warning lights and visual aids before you set off.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,BB1591a.gif ,BB1591b.gif ,BB1591c.gif ,BB1591d.gif ,,TS4035f.eps,TS4035c.eps,TS4035i.eps,TS4039.eps,DES s3
BB1636,Attitude ,B,When should you leave a two-second gap between your vehicle and the one in front?,Mark one answer,When it's raining,When it's dry,When it's icy,When it's foggy,"In good, dry conditions, a driver needs to keep a distance of at least two seconds from the car in front. This should allow enough space for you to stop if the driver in front has to stop suddenly.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"?DES s7, 10, HC r126"
BB1637,Attitude ,B,You're driving at night on an unlit road. What should you do if you're following another vehicle?,Mark one answer,Flash your headlights,Use dipped headlights,Switch off your headlights,Use full-beam headlights,"If you follow another vehicle with your headlights on full beam, they could dazzle the driver. Leave a safe distance and make sure that the light from your dipped beam falls short of the vehicle in front.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s13, HC r115"
BB1638,Attitude ,C,What should you do if you're driving a slow-moving vehicle on a narrow winding road?,Mark one answer,Keep well out to stop vehicles overtaking dangerously,Wave the vehicles behind to come past you if you think they can overtake quickly,"Pull in when you can, to let the vehicles behind overtake",Give a left signal when it's safe for vehicles to overtake you,"If you’re driving a slow-moving vehicle along a narrow road, try not to hold up faster traffic. If you see vehicles following behind, pull over in a safe place and let the traffic pass before continuing. Do not wave other traffic past – this could be dangerous if you or they have not noticed a hazard ahead.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
24/9/2024:  Remove negative contractions",,,,,,,,,,,,"DES s10, HC r169"
BB1642,Attitude,B,You're driving a car that has a diesel engine. What can a loose filler cap on your fuel tank cause?,Mark one answer,It can make the engine difficult to start,It can make the roads slippery for other road users,It can improve your vehicle’s fuel consumption,It can increase the level of exhaust emissions,"Diesel fuel can spill out if your filler cap is not secured properly. This is most likely to occur on bends, junctions and roundabouts, where it will make the road slippery, especially if it's wet. At the end of a spell of dry weather, road surfaces may be especially slippery where diesel has been spilled but it has not been washed away by rain.","5/8/2015:  5 August 2015 changed to Mark one answer
29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
24/9/2024:  Remove negative contractions",,,,,,,,,,,,"DES s4, HC p151"
BB1643,Attitude,D,What should you do to avoid fuel spillage?,Mark one answer,Check that your tank is only three-quarters full,Check that you've used a locking filler cap,Check that your fuel gauge is working,Check that your filler cap is securely fastened,"When learning to drive, it's a good idea to practise filling your car with fuel. Ask your instructor if you can use a petrol station and fill the fuel tank yourself. You need to know where the filler cap is on the car you're driving, so you know which side of the pump to park at. Take care not to overfill the tank and make sure you secure the filler cap correctly, so that no fuel leaks onto the road while you're driving.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s14, HC p151"
BB1725,Attitude,C,What style of driving causes increased risk to everyone?,Mark one answer,Considerate,Defensive,Competitive,Responsible,"Competitive driving increases the risks to everyone and is the opposite of responsible, considerate and defensive driving. Defensive driving is about questioning the actions of other road users and being prepared for the unexpected. Do not be taken by surprise.",24/9/2024:  Remove negative contraction,,,,,,,,,,,,DES s1
AB2045,Safety and your vehicle/motorcycle,A,How would under-inflated tyres affect your vehicle?,Mark one answer,The vehicle's stopping distance would increase,The flash rate of the vehicle's indicators would increase,The vehicle's gear change mechanism would become stiff,The vehicle's headlights would aim high,"Your tyres are your only contact with the road. To prevent problems with braking and steering, keep your tyres free from defects; they must have sufficient tread depth and be correctly inflated. Correct tyre pressures help reduce the risk of skidding and provide a safer and more comfortable drive or ride.","7/8/2015:  Amended made during the global change to 'Mark one answer'
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s17, HC p150"
AB2056,Safety and your vehicle/motorcycle,C,When are you not allowed to sound your vehicle's horn?,Mark one answer,Between 10.00 pm and 6.00 am in a built-up area,At any time in a built-up area,Between 11.30 pm and 7.00 am in a built-up area,Between 11.30 pm and 6.00 am on any road,"Every effort must be made to prevent excessive noise, especially in built-up areas at night. Do not rev your engine or sound the horn unnecessarily. It's illegal to sound your horn in a built-up area between 11.30 pm and 7.00 am, except when another road user poses a danger.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
24/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s3, HC r112"
AB2060,Safety and your vehicle/motorcycle,C,What makes the vehicle in the picture 'environmentally friendly'?,Mark one answer,It's powered by gravity,It's powered by diesel,It's powered by electricity,It's powered by unleaded petrol,"Trams are powered by electricity and therefore do not emit exhaust fumes. They ease traffic congestion by offering drivers an alternative to using their car, particularly in busy cities and towns.","7/8/2015:  Amended made during the global change to 'Mark one answer'
29/01/2016:  Continuation question re-written for accessibility
24/9/2024:  Remove negative contraction",,AB2060.gif,,,,,TS4681.eps,,,,,DES s17
AB2062,Safety and your vehicle/motorcycle,B,Why have 'red routes' been introduced in major cities?,Mark one answer,To raise the speed limits,To help the traffic flow,To provide better parking,To allow lorries to load more freely,Inconsiderate parking can obstruct the flow of traffic and so make traffic congestion worse. Red routes are designed to prevent this by enforcing strict parking restrictions. Driving slowly in traffic increases fuel consumption and causes a build-up of exhaust fumes.,29/01/2016:  Continuation question re-written for accessibility,,,,,,,,,,,,"DES s18, HC p135"
AB2064,Safety and your vehicle/motorcycle,D,"What's the purpose of road humps, chicanes and narrowings?",Mark one answer,To separate lanes of traffic,To increase traffic speed,To allow pedestrians to cross,To reduce traffic speed,Traffic-calming measures help to keep vehicle speeds low in congested areas where there are pedestrians and children. A pedestrian is much more likely to survive a collision with a vehicle travelling at 20 mph than they are with a vehicle travelling at 40 mph.,29/01/2016:  Continuation question re-written for accessibility,,,,,,,,,,,,"DES s6, HC r153"
